gene_id	ControlSample	KnockOutSample
AT1G114 1158.429670 2928.950621
AT1G115 15327.439009 13037.517441
AT1G116 1518.878872 845.169805
AT1G117 10535.668203 22391.124363
AT1G118 4215.833338 6821.485763
AT1G119 1402.134159 13125.638417
AT1G120 15327.721183 537.144749
AT1G121 2560.804743 15986.259041
AT1G122 12114.406262 844.863918
AT1G123 8949.170446 5510.014710
AT1G124 117.097201 19684.988037
AT1G125 16303.497543 3860.575091
AT1G126 6755.986816 4328.394147
AT1G127 9764.205939 5065.859004
AT1G128 29975.962462 4513.567675
AT1G129 1597.321757 766.771081
AT1G130 6045.027009 1350.593951
AT1G131 480.920927 21530.788598
AT1G132 8072.847316 4434.063540
AT1G133 3.745994 4841.204382
AT1G134 6338.417066 5405.241188
AT1G135 11342.654988 3801.180303
AT1G136 369.408246 183.590320
AT1G137 8470.206793 31333.044465
AT1G138 3915.235755 27806.880093
AT1G139 2043.400861 8661.589404
AT1G140 10753.961486 12500.468062
AT1G141 539.886776 7582.469985
AT1G142 4079.647084 15052.751549
AT1G143 13381.083102 26838.163640
AT1G144 4790.844752 8257.658071
AT1G145 930.339488 15575.079501
AT1G146 2599.018006 2516.528459
AT1G147 6775.071566 3497.871273
AT1G148 6361.912168 5783.684805
AT1G149 354.532456 59.652242
AT1G150 17744.872585 537.711722
AT1G151 17008.081179 7714.813257
AT1G152 9912.875759 9466.310617
AT1G153 63.554369 4031.695395
AT1G154 16939.797357 2123.253914
AT1G155 857.047456 391.009613
AT1G156 7243.755119 65.335673
AT1G157 6138.897794 2969.103000
AT1G158 1447.098483 27628.864834
AT1G159 10782.405499 2537.939848
AT1G160 1509.265999 4368.919156
AT1G161 4566.852260 1250.401746
AT1G162 16202.882168 16670.998688
AT1G163 2589.932066 51.803705
AT1G164 2381.700919 3202.191290
AT1G165 92.236702 2337.963652
AT1G166 2765.265542 16918.110294
AT1G167 10486.421949 3413.250893
AT1G168 24240.191961 1543.676290
AT1G169 8468.740867 2920.254769
AT1G170 804.949339 5598.660543
AT1G171 673.381481 11004.945128
AT1G172 2921.769097 797.534074
AT1G173 1613.212531 1216.945097
AT1G174 1390.240669 833.104953
AT1G175 253.106571 9185.118686
AT1G176 1784.769066 1122.924650
AT1G177 205.789361 15212.755516
AT1G178 3934.482498 1377.991272
AT1G179 3152.894070 1744.861110
AT1G180 5278.034486 957.747337
AT1G181 5729.065767 15018.663411
AT1G182 8268.060244 10.212195
AT1G183 2272.787866 13367.410688
AT1G184 648.614154 2072.601825
AT1G185 4789.339183 13754.222480
AT1G186 3330.078921 634.799493
AT1G187 5102.839564 25500.831324
AT1G188 2410.389721 526.092715
AT1G189 4060.384716 15250.356761
AT1G190 6063.362102 8900.372814
AT1G191 22537.533189 3865.431745
AT1G192 10763.213172 5677.700125
AT1G193 28952.298105 43.648915
AT1G194 4194.577166 8831.832026
AT1G195 2360.695212 14769.037629
AT1G196 8416.240547 27519.359478
AT1G197 1153.396771 20058.701041
AT1G198 5271.662801 1800.509659
AT1G199 5728.183111 4725.624775
AT1G200 9276.317881 7208.116337
AT1G201 43.843654 7618.850673
AT1G202 29902.611194 3737.986297
AT1G203 6485.208411 22586.656484
AT1G204 6.905271 2742.179724
AT1G205 4419.698294 2814.789026
AT1G206 735.211035 6517.888424
AT1G207 3172.257332 2088.361461
AT1G208 14493.414289 3158.718833
AT1G209 7182.562120 9194.251656
AT1G210 7963.422040 3282.051302
AT1G211 226.603748 17588.798639
AT1G212 21118.701987 24768.340587
AT1G213 8862.185034 428.688528
AT1G214 24314.276009 17389.294137
AT1G215 21581.322550 13684.488845
AT1G216 16103.496902 12821.457808
AT1G217 163.442640 11560.697623
AT1G218 22396.476821 8158.799524
AT1G219 4051.248238 2050.173009
AT1G220 11189.001129 11505.646901
AT1G221 2861.436048 15975.176000
AT1G222 2448.769799 3561.216620
AT1G223 10799.799036 11487.577258
AT1G224 3406.681326 10648.666707
AT1G225 1183.059786 3635.795282
AT1G226 1540.547014 2987.776971
AT1G227 1448.484939 4045.367595
AT1G228 4927.620350 4380.828089
AT1G229 19669.083285 13.953429
AT1G230 22602.164922 1349.415571
AT1G231 8158.810816 24551.991150
AT1G232 18368.730735 18011.473128
AT1G233 2375.651112 7420.451369
AT1G234 25130.158513 4859.384136
AT1G235 4489.535112 466.410962
AT1G236 925.881222 1171.814447
AT1G237 1165.940153 20362.149113
AT1G238 13179.148106 12473.995056
AT1G239 8430.905606 1338.713309
AT1G240 679.917844 16148.374584
AT1G241 12496.516617 7192.703635
AT1G242 556.672262 956.102908
AT1G243 1423.006378 10130.455245
AT1G244 3738.048891 17562.346721
AT1G245 8176.438612 4504.423719
AT1G246 1451.862423 14650.483718
AT1G247 116.102725 6221.622517
AT1G248 9642.721458 9733.981994
AT1G249 12862.525285 8526.337352
AT1G250 5788.065432 10162.318491
AT1G251 15975.640370 21886.876827
AT1G252 12052.212531 746.815394
AT1G253 1262.834864 1685.232459
AT1G254 2259.277566 5134.985199
AT1G255 18820.402173 3114.596026
AT1G256 948.688955 1371.682730
AT1G257 4605.143193 12101.985290
AT1G258 810.235298 14051.171484
AT1G259 1357.455733 10907.504501
AT1G260 2159.673574 22550.095096
AT1G261 231.544176 1465.778191
AT1G262 10758.105472 22536.453932
AT1G263 8070.317515 14657.779931
AT1G264 5731.619953 8026.827784
AT1G265 12914.011292 14584.082461
AT1G266 1072.003540 21960.929044
AT1G267 13073.516709 7587.205176
AT1G268 15602.800958 1798.332774
AT1G269 13973.744743 13019.801508
AT1G270 2583.775384 4109.844905
AT1G271 10194.752037 917.683584
AT1G272 12867.597674 9575.266152
AT1G273 3607.651845 13094.964446
AT1G274 10659.924619 3275.569353
AT1G275 850.837367 6032.068850
AT1G276 3908.193487 5564.480911
AT1G277 5305.426618 20671.403333
AT1G278 20665.790826 2407.354350
AT1G279 16.254860 2517.452406
AT1G280 7661.633778 8660.857234
AT1G281 872.422163 3217.340007
AT1G282 492.141667 1271.714164
AT1G283 14580.950346 2212.491531
AT1G284 16836.044740 111.598865
AT1G285 12800.722007 3933.196753
AT1G286 8301.079989 4482.692953
AT1G287 10728.647725 274.530229
AT1G288 416.735343 21468.985046
AT1G289 9891.020234 15616.029176
AT1G290 2111.846919 722.016022
AT1G291 16117.962981 19876.735740
AT1G292 7137.878414 2776.644795
AT1G293 8660.457442 2524.941252
AT1G294 19399.357616 3453.671682
AT1G295 11797.792596 877.098117
AT1G296 3987.774926 6776.958525
AT1G297 6002.895688 8189.778253
AT1G298 14257.936338 9999.110782
AT1G299 86.097537 4698.540086
AT1G300 3105.080752 17434.808679
AT1G301 10601.271584 15489.873806
AT1G302 9567.380505 4820.277718
AT1G303 2987.823237 22949.739372
AT1G304 220.669179 3427.416456
AT1G305 8989.745781 9430.696432
AT1G306 1133.553392 226.086215
AT1G307 8955.304056 1914.390393
AT1G308 3118.927946 17176.102878
AT1G309 1693.092502 2581.206702
AT1G310 2548.482376 3531.228950
AT1G311 20743.289285 1188.095340
AT1G312 9678.350322 3685.962096
AT1G313 5177.373943 8913.574267
AT1G314 2623.271065 2733.876827
AT1G315 11337.124943 1602.763482
AT1G316 5636.672262 23961.349345
AT1G317 15846.374737 12219.461348
AT1G318 34.640034 4490.762841
AT1G319 22662.650594 2442.350993
AT1G320 114.926084 13698.232002
AT1G321 26434.882473 1653.152959
AT1G322 6223.683340 1891.691153
AT1G323 6767.232368 4340.760949
AT1G324 14796.293008 8187.232704
AT1G325 21829.890164 8720.816065
AT1G326 1094.735313 11173.816462
AT1G327 23792.667806 9336.770714
AT1G328 25630.343455 409.386059
AT1G329 7133.091983 4478.046541
AT1G330 1028.999359 1498.241249
AT1G331 11519.439680 13222.790002
AT1G332 2242.255684 8179.840388
AT1G333 17298.668538 7413.068178
AT1G334 2912.877194 2999.284310
AT1G335 4264.191412 924.693258
AT1G336 4029.522385 15433.177282
AT1G337 2748.049745 12006.742180
AT1G338 1337.177770 3314.512284
AT1G339 10774.384228 5270.060183
AT1G340 22318.666463 332.309336
AT1G341 7672.286447 711.113163
AT1G342 50.000641 5960.552293
AT1G343 17371.179632 3742.165471
AT1G344 19886.041444 187.937620
AT1G345 3239.545885 8381.964660
AT1G346 2524.119266 5037.145695
AT1G347 1537.802179 8217.972350
AT1G348 11608.161534 1936.091678
AT1G349 923.157384 433.245125
AT1G350 677.782159 2717.726371
AT1G351 22242.732261 18.607013
AT1G352 5149.933988 2439.783807
AT1G353 2500.425428 15730.449843
AT1G354 8895.968993 7719.484939
AT1G355 26141.448408 2297.133091
AT1G356 3519.811884 10505.053499
AT1G357 5138.916105 3778.902127
AT1G358 7978.612384 443.897824
AT1G359 1715.159276 95.971252
AT1G360 11609.267342 955.866573
AT1G361 9084.069948 19353.096866
AT1G362 24112.356670 7041.715445
AT1G363 10535.763634 13515.280007
AT1G364 9342.941374 1225.371868
AT1G365 5567.558336 22555.470107
AT1G366 620.096072 60.901456
AT1G367 18809.351146 5129.782525
AT1G368 7573.118076 15823.851802
AT1G369 8819.289804 320.402417
AT1G370 9064.709250 1491.307840
AT1G371 26519.775140 2647.834834
AT1G372 2625.599658 5042.651906
AT1G373 16502.924284 4604.477065
AT1G374 9325.941160 5397.474288
AT1G375 11437.727470 9969.777673
AT1G376 1110.243934 15453.913816
AT1G377 2035.320597 13430.234687
AT1G378 2992.090823 1707.104190
AT1G379 11293.424787 74.988739
AT1G380 29171.790063 6233.180456
AT1G381 5082.262276 4060.237495
AT1G382 20640.165410 12923.156713
AT1G383 2946.283700 13914.260628
AT1G384 28630.025178 14779.113132
AT1G385 9383.451033 6114.896084
AT1G386 20520.966826 18867.145543
AT1G387 803.833125 5.911374
AT1G388 6928.704794 22826.932066
AT1G389 17203.623157 10088.482803
AT1G390 867.886135 11603.908383
AT1G391 3941.581591 44.823756
AT1G392 91.364483 21819.995727
AT1G393 3683.514328 6306.904508
AT1G394 14431.879666 3515.264260
AT1G395 18374.902951 1895.427961
AT1G396 7399.935484 9413.770989
AT1G397 6761.846980 14794.946379
AT1G398 22705.604541 16681.262215
AT1G399 2593.863704 13107.072970
AT1G400 18709.197821 14917.160222
AT1G401 8067.128391 1640.309763
AT1G402 94.917447 10112.770714
AT1G403 17819.801325 7466.995178
AT1G404 21823.537217 4690.156621
AT1G405 7320.654988 2379.017945
AT1G406 8891.967315 3310.141423
AT1G407 2763.274483 814.837336
AT1G408 6694.927152 2954.638356
AT1G409 1263.587146 5185.858638
AT1G410 14968.284341 2785.210852
AT1G411 2004.332408 18825.397229
AT1G412 334.525864 891.769616
AT1G413 5365.123936 7003.496689
AT1G414 7939.081393 15823.474685
AT1G415 17826.599231 8768.204871
AT1G416 1316.641377 15039.485672
AT1G417 6648.791833 3976.456557
AT1G418 26413.793573 9306.186346
AT1G419 13571.036409 24170.610096
AT1G420 29039.698782 3724.052156
AT1G421 7383.236488 4233.860042
AT1G422 2217.042207 2435.875118
AT1G423 6303.567614 2187.395245
AT1G424 21149.082919 23491.488388
AT1G425 23111.556444 12919.454390
AT1G426 647.565905 15042.862514
AT1G427 3287.705924 23936.062746
AT1G428 27959.570177 1885.607166
AT1G429 13534.516434 4443.616382
AT1G430 13831.158086 6649.943541
AT1G431 2139.274026 10462.674947
AT1G432 2269.033326 15813.234352
AT1G433 9347.157750 3.763512
AT1G434 2650.032929 10995.075076
AT1G435 5405.054872 19140.484024
AT1G436 6548.608112 2975.740837
AT1G437 8734.470656 6560.881863
AT1G438 7339.150853 1580.520341
AT1G439 5242.640950 4674.530931
AT1G440 8298.168645 13170.479781
AT1G441 3970.854671 13967.875454
AT1G442 3179.378063 6670.765343
AT1G443 9580.832759 11431.397443
AT1G444 330.296091 5266.991638
AT1G445 2879.598621 11830.889157
AT1G446 20552.896573 73.615497
AT1G447 1896.048433 7330.911130
AT1G448 2000.390606 12638.109073
AT1G449 21057.285531 31155.674581
AT1G450 4741.427473 137.249214
AT1G451 7000.298379 21024.531205
AT1G452 28078.382031 12292.204230
AT1G453 4115.927671 11353.046480
AT1G454 2330.969420 1580.529313
AT1G455 19459.462874 23212.034486
AT1G456 4991.366161 4928.423841
AT1G457 15474.217353 3586.109500
AT1G458 7378.245186 14223.756829
AT1G459 3944.046846 933.472549
AT1G460 15880.685568 3230.470046
AT1G461 18666.344798 317.813532
AT1G462 16412.795648 4034.831263
AT1G463 114.552751 465.120945
AT1G464 17895.445418 2324.955657
AT1G465 2316.190893 2932.412946
AT1G466 7672.063967 27217.628712
AT1G467 1638.641438 8568.509720
AT1G468 1819.208838 5997.592090
AT1G469 2393.861995 3638.921262
AT1G470 1943.278542 6895.676565
AT1G471 301.442640 7689.464187
AT1G472 2990.527055 5525.331187
AT1G473 13067.254555 6950.246529
AT1G474 4642.675192 3797.332408
AT1G475 2783.046358 2581.289651
AT1G476 421.657704 193.956175
AT1G477 7755.584521 3098.430250
AT1G478 12217.637501 7638.638417
AT1G479 1127.618000 10185.636036
AT1G480 18823.023957 12905.511429
AT1G481 4344.598285 8349.951933
AT1G482 20105.566118 8354.594256
AT1G483 2383.529160 1595.431776
AT1G484 365.821924 11332.228767
AT1G485 6178.104495 1497.415082
AT1G486 1395.053560 17606.463332
AT1G487 7031.639821 5703.963744
AT1G488 26047.741935 563.183111
AT1G489 16893.636586 8346.012604
AT1G490 8303.077792 5690.221412
AT1G491 9236.760460 2699.503525
AT1G492 29080.883999 11509.415021
AT1G493 9231.086398 13455.932127
AT1G494 11819.805902 10976.421278
AT1G495 8659.819941 17174.996796
AT1G496 9599.194311 451.077975
AT1G497 5670.348521 14671.154607
AT1G498 2809.053926 1889.626148
AT1G499 6715.608081 25822.605976
AT1G500 3878.270211 1513.500656
AT1G501 7026.107242 4418.230659
AT1G502 6534.313974 18928.681326
AT1G503 3490.451247 20060.694967
AT1G504 17434.328745 2277.583544
AT1G505 12734.221229 273.534043
AT1G506 904.844752 8716.516617
AT1G507 3374.211127 381.342753
AT1G508 1074.807825 342.271554
AT1G509 4123.037996 13162.886135
AT1G510 7955.758049 15343.215003
AT1G511 3031.835688 958.505509
AT1G512 14490.305246 25256.551897
AT1G513 9663.328532 18098.737602
AT1G514 245.309732 9043.520402
AT1G515 172.571734 8753.974303
AT1G516 7321.620167 26613.689108
AT1G517 19285.246071 1803.934874
AT1G518 10361.658986 26039.035920
AT1G519 10545.123142 26370.995941
AT1G520 20551.058382 3702.321085
AT1G521 17604.166448 9505.300272
AT1G522 24.751427 10578.501541
AT1G523 5326.955473 14913.212989
AT1G524 1011.678732 16466.312326
AT1G525 6152.624348 19934.174688
AT1G526 1978.030091 20599.299539
AT1G527 1808.793054 1508.551103
AT1G528 20538.494400 24416.416150
AT1G529 5769.952696 8150.050722
AT1G530 350.689077 16508.077853
AT1G531 3597.242042 8540.172308
AT1G532 63.465804 15666.238411
AT1G533 1039.491562 5401.490066
AT1G534 630.310373 22662.264687
AT1G535 66.835994 1709.762261
AT1G536 8307.054994 3539.037751
AT1G537 3488.087344 7405.642415
AT1G538 4868.278909 23720.719016
AT1G539 4401.608692 4107.884152
AT1G540 15577.634938 5374.712851
AT1G541 21542.134068 2342.084414
AT1G542 6479.062471 1121.843318
AT1G543 6985.451888 17286.686300
AT1G544 8054.388012 6039.359539
AT1G545 9927.326395 409.321360
AT1G546 10002.692495 21233.017975
AT1G547 2727.963256 4195.793573
AT1G548 561.308634 2367.273934
AT1G549 267.571520 9220.320017
AT1G550 14713.784967 25797.786065
AT1G551 16843.356120 5522.858364
AT1G552 1216.158818 4265.390118
AT1G553 7926.318430 17137.292947
AT1G554 3317.051057 870.008728
AT1G555 17099.424116 5128.310953
AT1G556 492.554552 20416.840663
AT1G557 14746.018372 8776.020875
AT1G558 11041.725547 11190.981445
AT1G559 1988.578936 16650.442213
AT1G560 8487.086520 1154.959258
AT1G561 9035.681021 318.885830
AT1G562 2064.002930 11667.477462
AT1G563 1911.268044 7783.786920
AT1G564 2082.067324 3318.289865
AT1G565 28859.006378 9143.953856
AT1G566 4444.952788 402.100162
AT1G567 8249.499802 25632.083956
AT1G568 172.044923 4119.908139
AT1G569 2589.684133 735.595111
AT1G570 16586.811548 3598.012238
AT1G571 22449.081698 5446.754112
AT1G572 18783.970916 3536.891202
AT1G573 3906.415296 3741.934507
AT1G574 18183.470199 2272.375011
AT1G575 7937.278359 6535.437727
AT1G576 27383.407453 20928.750023
AT1G577 14129.139561 14217.197729
AT1G578 7336.012635 8433.756157
AT1G579 14782.720420 4381.679312
AT1G580 840.924100 26535.483871
AT1G581 10275.527940 4589.272134
AT1G582 8327.395001 4195.879604
AT1G583 20348.913175 6806.535539
AT1G584 11777.946593 5684.172674
AT1G585 6354.943571 2567.949461
AT1G586 943.355846 1620.239875
AT1G587 6606.374493 2873.281930
AT1G588 2483.661611 4713.059389
AT1G589 8948.384228 27847.798975
AT1G590 631.791467 12784.111576
AT1G591 507.552599 1137.095187
AT1G592 1935.027558 20672.688498
AT1G593 2951.364238 13634.927213
AT1G594 6645.890255 6598.993896
AT1G595 589.545427 1904.446303
AT1G596 17300.868068 10736.348155
AT1G597 1437.615894 4457.428663
AT1G598 3791.903073 581.919614
AT1G599 5918.924375 2336.359905
AT1G600 8476.695151 7910.449843
AT1G601 7984.346873 6250.331492
AT1G602 565.742851 19654.387890
AT1G603 25960.976226 7862.832087
AT1G604 4243.629139 6804.753136
AT1G605 779.304422 12391.064516
AT1G606 1086.802942 11831.242897
AT1G607 1386.108951 17547.603687
AT1G608 1237.177953 3653.046144
AT1G609 19330.694449 2234.586993
AT1G610 11889.300333 422.106388
AT1G611 4962.503372 141.815912
AT1G612 14124.714682 5998.532670
AT1G613 180.067019 11281.082125
AT1G614 2187.232826 11411.612903
AT1G615 6076.793970 13857.192846
AT1G616 12410.427564 9360.440382
AT1G617 21101.146886 13053.699637
AT1G618 7022.141057 17043.551439
AT1G619 5960.809351 3523.217811
AT1G620 335.725028 7005.675069
AT1G621 897.302408 14997.717246
AT1G622 707.575304 19824.427015
AT1G623 3014.377667 7017.089633
AT1G624 409.816645 2532.412366
AT1G625 4668.031678 182.263131
AT1G626 4856.644490 8762.875301
AT1G627 13725.552629 16163.036714
AT1G628 12877.142247 11967.471053
AT1G629 10204.953642 20976.317515
AT1G630 2169.565355 18735.340953
AT1G631 3065.460250 12492.022523
AT1G632 5790.691794 183.642354
AT1G633 20411.251808 1450.956420
AT1G634 31284.334117 17630.572527
AT1G635 1293.130284 4614.942289
AT1G636 3187.608112 1785.333079
AT1G637 22061.554033 5495.300150
AT1G638 1813.888607 8703.661397
AT1G639 19510.168035 10431.956847
AT1G640 27190.051454 1495.458235
AT1G641 7821.639058 7303.566332
AT1G642 23223.448439 5592.455214
AT1G643 12756.689413 4826.379559
AT1G644 7000.543077 53.377056
AT1G645 2648.406995 1302.577349
AT1G646 6619.311411 597.675069
AT1G647 1635.822871 31.215064
AT1G648 998.297922 1193.367534
AT1G649 1388.121128 657.679434
AT1G650 3598.961394 1272.189245
AT1G651 8964.146977 1930.244697
AT1G652 10926.846644 345.221564
AT1G653 17447.845485 28030.139042
AT1G654 106.344798 8005.044465
AT1G655 11690.049196 13893.760643
AT1G656 828.403943 13155.321635
AT1G657 14877.996765 274.772057
AT1G658 10429.889584 28359.221290
AT1G659 7966.502518 1135.075198
AT1G660 353.388226 7662.580645
AT1G661 924.161016 27.678610
AT1G662 6101.718833 8748.024018
AT1G663 1178.448286 12244.067507
AT1G664 11429.910092 1215.313395
AT1G665 11438.926115 14509.040132
AT1G666 136.972564 9537.391766
AT1G667 10072.310404 3616.610645
AT1G668 4497.957640 19760.700705
AT1G669 22149.811579 12152.628742
AT1G670 30760.352550 1035.734611
AT1G671 2979.665090 8083.298685
AT1G672 11110.825434 1362.574328
AT1G673 26032.363598 6293.440077
AT1G674 20099.927580 5452.905423
AT1G675 2302.392651 19122.267891
AT1G676 24947.833369 26565.403974
AT1G677 18466.733329 19810.733970
AT1G678 10742.493149 17171.000092
AT1G679 2753.188635 14328.953215
AT1G680 8274.666646 11825.316202
AT1G681 18139.118259 18090.464003
AT1G682 3597.703909 19253.219398
AT1G683 6640.204962 1.957518
AT1G684 7944.659566 22264.307505
AT1G685 1305.920591 1278.993866
AT1G686 2135.797021 8319.746452
AT1G687 15397.611927 25025.367534
AT1G688 3740.193670 1388.238868
AT1G689 20882.444838 21961.622364
AT1G690 8669.065950 3593.510361
AT1G691 3743.429609 13408.380596
AT1G692 2624.493912 5788.171453
AT1G693 1390.097781 10152.267708
AT1G694 5810.270333 4672.200568
AT1G695 14689.222205 3780.533464
AT1G696 24816.092288 9451.025880
AT1G697 4526.167974 5176.679220
AT1G698 12.008148 9382.210089
AT1G699 5318.182318 1591.304666
AT1G700 17993.644642 23359.920103
AT1G701 18086.571245 1168.769585
AT1G702 4274.464553 1490.934507
AT1G703 21804.037446 976.975311
AT1G704 9002.313791 1508.504898
AT1G705 5728.479659 24447.401837
AT1G706 5880.805170 9707.650929
AT1G707 3110.578204 214.631031
AT1G708 1483.791925 15782.934416
AT1G709 22479.364879 1527.886898
AT1G710 16324.495193 28.986663
AT1G711 26815.890866 3522.419752
AT1G712 8470.472732 7522.533280
AT1G713 2247.553819 17108.562212
AT1G714 28227.486435 1076.373424
AT1G715 309.299478 1043.229163
AT1G716 512.826533 2689.074496
AT1G717 9820.519395 816.272469
AT1G718 20169.736473 429.742790
AT1G719 6497.411634 10943.396741
AT1G720 1467.494675 1793.325419
AT1G721 13590.563066 19002.939543
AT1G722 9918.416944 2377.185644
AT1G723 7142.085055 180.213141
AT1G724 887.623524 905.597949
AT1G725 2050.350658 4696.752373
AT1G726 14989.602344 14953.258827
AT1G727 3220.084933 5809.431745
AT1G728 3632.407910 23999.704276
AT1G729 22127.934690 57.281259
AT1G730 4831.325419 2021.801325
AT1G731 4837.708365 4807.016816
AT1G732 563.233497 212.844478
AT1G733 3882.592608 15896.064943
AT1G734 1086.567827 3527.291177
AT1G735 26903.689901 28120.730399
AT1G736 140.844539 8379.940184
AT1G737 21910.653706 15555.677419
AT1G738 2247.736747 8911.164586
AT1G739 4369.629200 3181.368908
AT1G740 463.810083 9631.711356
AT1G741 150.051454 8217.789483
AT1G742 26193.139439 1173.693655
AT1G743 5049.262062 15212.941862
AT1G744 2141.685995 2180.729972
AT1G745 19811.492508 487.682608
AT1G746 16313.425398 4041.708884
AT1G747 2840.494339 42.899747
AT1G748 22299.283578 6381.330729
AT1G749 6531.994385 7720.353648
AT1G750 27433.312479 3302.147771
AT1G751 1496.505692 16429.586169
AT1G752 5635.173070 1845.831050
AT1G753 7633.971892 3622.846034
AT1G754 13846.932859 8753.983123
AT1G755 7288.743431 3115.488449
AT1G756 12431.967284 6972.779504
AT1G757 3070.360424 742.180059
AT1G758 17985.383862 2448.946226
AT1G759 2739.524033 11253.289956
AT1G760 14092.729392 11.552293
AT1G761 763.182592 4687.152257
AT1G762 14672.672597 4373.941191
AT1G763 2140.033113 248.150761
AT1G764 2824.143437 920.724387
AT1G765 6214.817713 343.516343
AT1G766 7146.491104 1155.604602
AT1G767 9481.573199 1972.118564
AT1G768 332.433607 4826.271310
AT1G769 3390.993377 4900.605609
AT1G770 2991.444136 6233.292154
AT1G771 10266.248238 1325.916684
AT1G772 12976.908750 488.266854
AT1G773 4604.527116 7199.666799
AT1G774 15056.360179 941.822932
AT1G775 125.421003 11671.119358
AT1G776 4134.794763 433.965392
AT1G777 1382.444166 775.109104
AT1G778 1087.269509 15720.004120
AT1G779 1013.278603 15446.676534
AT1G780 2482.135563 18220.244423
AT1G781 19308.365123 10868.252815
AT1G782 19979.672658 4236.711570
AT1G783 812.424085 1430.208136
AT1G784 3907.430006 5436.438765
AT1G785 2309.258339 8337.458480
AT1G786 1089.992004 426.126530
AT1G787 3247.108890 25043.570055
